City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tuatapere,NZ,-46.1333,167.6833,57.0,63,8,13.0,clear sky
80,Hermanus,ZA,-34.4187,19.2345,68.0,72,3,1.99,clear sky
81,Ormara,PK,25.2088,64.6357,81.14,70,0,11.92,clear sky
82,Moba,CN,33.2288,105.0179,41.0,80,100,2.86,overcast clouds
83,Khatanga,RU,71.9667,102.5,-28.05,92,13,3.87,few clouds
84,Naze,JP,28.3667,129.4833,66.18,91,60,6.35,broken clouds
85,East London,ZA,-33.0153,27.9116,66.2,68,0,9.22,clear sky
86,Deer Park,US,29.7052,-95.1238,66.0,59,90,8.05,overcast clouds
87,Marechal Candido Rondon,BR,-24.5561,-54.0567,82.65,42,68,4.47,broken clouds
88,Pinheiro,BR,-2.5214,-45.0825,88.7,56,70,5.32,broken clouds
89,Lompoc,US,34.6391,-120.4579,51.8,82,38,3.44,scattered clouds
90,Georgetown,MY,5.4112,100.3354,86.0,74,20,7.78,light rain
91,Faanui,PF,-16.4833,-151.75,81.3,72,88,7.92,light rain
92,Talnakh,RU,69.4865,88.3972,-11.74,78,0,7.2,clear sky
93,Cherskiy,RU,68.75,161.3,-21.8,94,55,4.38,broken clouds
94,Tateyama,JP,34.9833,139.8667,62.01,80,66,1.01,broken clouds
95,Neiafu,TO,-18.65,-173.9833,71.6,94,75,6.06,broken clouds
96,Vostok,RU,46.4856,135.8833,21.81,62,37,8.7,scattered clouds
97,Tasiilaq,GL,65.6145,-37.6368,26.6,54,20,12.66,few clouds
98,Castro,BR,-24.7911,-50.0119,73.74,50,38,3.51,scattered clouds
99,Souillac,MU,-20.5167,57.5167,80.6,83,40,8.05,light rain
100,Pevek,RU,69.7008,170.3133,-26.7,99,42,2.89,scattered clouds
101,Provideniya,RU,64.3833,-173.3,4.51,92,99,10.85,overcast clouds
102,Zhigansk,RU,66.7697,123.3711,-14.87,100,99,3.98,overcast clouds
103,Hambantota,LK,6.1241,81.1185,82.4,78,0,4.61,clear sky
104,Narsaq,GL,60.9167,-46.05,41.0,81,75,2.3,broken clouds
105,Bo Rai,TH,12.5728,102.5371,76.26,88,100,1.25,overcast clouds
106,Nioro,GM,13.35,-15.75,103.57,12,29,4.23,scattered clouds
107,Mende,FR,44.6667,3.5,40.95,53,0,15.39,clear sky
108,Dunedin,NZ,-45.8742,170.5036,54.48,48,62,8.34,broken clouds
109,Teitipac,MX,16.9458,-96.6092,66.2,42,20,4.61,few clouds
110,Ilulissat,GL,69.2167,-51.1,6.8,66,90,12.66,overcast clouds
111,Uryupinsk,RU,50.8047,42.0138,44.01,92,100,11.43,overcast clouds
112,La Rioja,ES,42.25,-2.5,57.2,54,0,13.8,clear sky
113,Wick,GB,58.4333,-3.0833,48.2,71,30,25.32,scattered clouds
114,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,76,75,2.24,broken clouds
115,Mar Del Plata,AR,-38.0023,-57.5575,75.2,60,40,9.22,scattered clouds
116,Cervo,ES,43.6702,-7.4101,54.0,76,64,3.0,broken clouds
117,Alofi,NU,-19.0595,-169.9187,68.0,100,94,1.14,overcast clouds
118,Touros,BR,-5.1989,-35.4608,82.4,83,75,9.22,light rain
119,Vila Velha,BR,-20.3297,-40.2925,82.99,69,40,14.97,scattered clouds
120,Portland,US,45.5234,-122.6762,48.99,76,90,3.44,overcast clouds
121,Thompson,CA,55.7435,-97.8558,32.0,59,20,6.91,few clouds
122,Tommot,RU,58.9564,126.2925,-3.53,97,78,2.37,broken clouds
123,Avera,US,33.194,-82.5271,57.99,24,1,6.91,clear sky
124,Preobrazheniye,RU,42.9019,133.9064,37.63,67,100,4.03,overcast clouds
125,Yenagoa,NG,4.9247,6.2642,85.77,63,66,11.18,broken clouds
126,Tiksi,RU,71.6872,128.8694,-14.69,99,100,6.2,overcast clouds
127,Kruisfontein,ZA,-34.0033,24.7314,68.0,69,23,5.99,few clouds
128,Kochi,IN,9.9399,76.2602,78.8,89,40,1.14,mist
129,Ardalstangen,NO,61.2371,7.6983,36.55,93,85,3.2,overcast clouds
130,Ouidah,BJ,6.3631,2.0851,89.6,70,40,10.36,haze
131,Port-Gentil,GA,-0.7193,8.7815,80.6,89,20,6.91,few clouds
132,Cuamba,MZ,-14.8031,36.5372,71.38,89,94,1.81,light rain
133,Isangel,VU,-19.55,169.2667,79.2,85,100,11.48,moderate rain
